160011114,7826296404,Ben rubiano,M,40,nombre y/o apellido no concuerda con ANI
280010402,7268778820,Jimena arrieta,F,21,nombres y/o apellidos ilegibles
170359953,1553269757,Liam rubiano,F,52,nombres y/o apellidos ilegibles
152950000,8745390837,Cesar agusto,F,33,nombres y/o apellidos ilegibles
2313999J6,8687231290,Víctor vega,F,45,Sufragante no encontrado en ANI
271150000,2381344899,Radu florinda,F,43,nombres y/o apellidos ilegibles
520050202,5418147069,Jimena arrieta,F,20,nombres y/o apellidos ilegibles
170019906,6980502153,Noah rolda,F,22,nombre y/o apellido no concuerda con ANI
270019905,3562989083,Mateo casallas,F,31,nombre y/o apellido no concuerda con ANI
050289945,8205128503,Mateo casallas,M,44,Sufragante no encontrado en ANI
210289945,3590323178,Jesús diaz,F,35,Sufragante no encontrado en ANI
883600584,8883204815,Cesar agusto,F,24,nombres y/o apellidos ilegibles
270190506,6969903780,Noah rolda,F,33,nombre y/o apellido no concuerda con ANI
091330000,8983806400,Adara Núñez ,F,34,nombre y/o apellido no concuerda con ANI
190289970,8377888817,Fabio duque,M,38,Sufragante no encontrado en ANI
050409929,4584603687,Jimena arrieta,F,53,nombre y/o apellido no concuerda con ANI
170389935,7621511630,Paken rojas,M,47,nombres y/o apellidos ilegibles
030049909,1863209013,Mateo casallas,F,53,Sufragante no encontrado en ANI
190469930,2192033158,Juan García ,F,52,nombres y/o apellidos ilegibles
240010801,1567638536,Ben rubiano,F,27,nombre y/o apellido no concuerda con ANI
240010704,7133158388,Juan García ,F,63,nombres y/o apellidos ilegibles
270619905,6935792589,Juan García ,F,45,nombre y/o apellido no concuerda con ANI
270759940,6032597392,Ben rubiano,M,40,nombres y/o apellidos ilegibles
270649904,9088926800,Adara Núñez ,F,36,nombre y/o apellido no concuerda con ANI
091279905,2063376938,Liam rubiano,F,24,Sufragante no encontrado en ANI
130010301,4655859600,Mateo casallas,F,33,nombre y/o apellido no concuerda con ANI
153040102,6988969882,Radu florinda,M,65,nombres y/o apellidos ilegibles
130109001,7883670849,Lara ovalle,M,38,nombre y/o apellido no concuerda con ANI
290469001,8778340208,Noah rolda,M,24,Sufragante no encontrado en ANI
260709957,8601987008,Eleazar Martínez,F,32,Sufragante no encontrado en ANI
271369903,8904699642,Marta aristizabal,M,20,nombre y/o apellido no concuerda con ANI
010319901,7773918048,Eleazar Martínez,M,57,nombre y/o apellido no concuerda con ANI
271249905,4503501973,Santiago agudelo,F,34,nombre y/o apellido no concuerda con ANI
270820603,3945461103,Santiago agudelo,M,26,nombre y/o apellido no concuerda con ANI
310012604,7867999116,Jimena arrieta,M,54,Sufragante no encontrado en ANI
440099926,1185907394,Radu florinda,M,53,nombre y/o apellido no concuerda con ANI
882500586,8914440064,Mateo casallas,F,34,Sufragante no encontrado en ANI
280800000,2477611003,Eleazar Martínez,F,34,Sufragante no encontrado en ANI
400059927,5364984078,Ben rubiano,F,34,nombre y/o apellido no concuerda con ANI
240860105,7510605954,Inna,F,33,nombre y/o apellido no concuerda con ANI
070379908,7772328411,Inna,F,38,Sufragante no encontrado en ANI
110559955,5198337459,Lara ovalle,M,53,Sufragante no encontrado en ANI
310379961,8082057227,Víctor vega,F,43,nombre y/o apellido no concuerda con ANI
884550586,8366524110,Ben rubiano,M,40,nombres y/o apellidos ilegibles
010769922,3291306413,Santiago agudelo,M,18,Sufragante no encontrado en ANI
072770206,1851499365,tony rogers,M,39,nombres y/o apellidos ilegibles
160010853,3938198873,Jimena arrieta,F,51,nombres y/o apellidos ilegibles
010012903,2940099381,Adara Núñez ,M,27,nombres y/o apellidos ilegibles
210529917,8615537129,Jesús diaz,M,52,Sufragante no encontrado en ANI
160010721,1236791495,tony rogers,F,28,Sufragante no encontrado en ANI
090529980,7092359011,Liam rubiano,M,49,Sufragante no encontrado en ANI
230399955,5309015324,Mateo casallas,M,39,nombres y/o apellidos ilegibles
170169913,6744767457,Eleazar Martínez,F,29,nombres y/o apellidos ilegibles
130010502,4076641533,Eleazar Martínez,F,41,nombres y/o apellidos ilegibles
070739905,5974881438,Fabio duque,M,51,nombre y/o apellido no concuerda con ANI
290109909,9545453002,Jimena arrieta,M,18,nombre y/o apellido no concuerda con ANI
883155084,8865852733,Cesar agusto,M,53,nombre y/o apellido no concuerda con ANI
466409935,5673318135,Zuzen uribe,M,27,nombres y/o apellidos ilegibles
270450101,5254380752,Mateo casallas,M,62,nombres y/o apellidos ilegibles
050012005,1660150558,Juan García ,F,54,Sufragante no encontrado en ANI
012370201,1748411232,Paken rojas,F,47,nombres y/o apellidos ilegibles
160010707,9710110914,Jesús diaz,F,25,nombres y/o apellidos ilegibles
151690203,4927439583,Juan García ,M,18,Sufragante no encontrado en ANI
153289940,3362388626,Noah rolda,F,43,nombres y/o apellidos ilegibles
050049915,8730769121,Eleazar Martínez,F,60,nombres y/o apellidos ilegibles
886700586,8471599613,Paken rojas,F,54,nombres y/o apellidos ilegibles
290460106,8896561726,Fabio duque,F,34,nombres y/o apellidos ilegibles
883301081,9051526366,Marta aristizabal,M,43,Sufragante no encontrado en ANI
260100102,2088685850,Noah rolda,M,18,nombre y/o apellido no concuerda con ANI
720069996,8974222470,Fabio duque,F,58,nombre y/o apellido no concuerda con ANI
240789984,3220976843,Eleazar Martínez,F,28,Sufragante no encontrado en ANI
030521003,1811443119,Zuzen uribe,M,39,nombre y/o apellido no concuerda con ANI
090799909,7160607107,Zuzen uribe,M,29,nombre y/o apellido no concuerda con ANI
050019801,7300846514,Víctor vega,M,32,Sufragante no encontrado en ANI
160011630,4959440025,Eleazar Martínez,F,62,nombres y/o apellidos ilegibles
231069905,7312424572,Jimena arrieta,M,36,nombre y/o apellido no concuerda con ANI
883750586,7015646658,Cesar agusto,M,54,nombre y/o apellido no concuerda con ANI
170119904,8737306639,Liam rubiano,M,51,Sufragante no encontrado en ANI
170069929,2204283666,Marta aristizabal,M,64,nombres y/o apellidos ilegibles
110619912,6489957281,tony rogers,M,43,nombres y/o apellidos ilegibles
311099905,9825309917,Víctor vega,F,55,nombre y/o apellido no concuerda con ANI
883050586,5276360898,Paken rojas,M,57,nombres y/o apellidos ilegibles
311060204,8171940442,Mateo casallas,F,58,Sufragante no encontrado en ANI
151600202,1852174846,Cesar agusto,F,65,nombre y/o apellido no concuerda con ANI
160011510,3109437537,Liam rubiano,F,29,nombre y/o apellido no concuerda con ANI
011510702,6353093964,Juan García ,M,59,Sufragante no encontrado en ANI
885800584,7108860303,Jesús diaz,F,35,nombres y/o apellidos ilegibles
070970000,8302813718,Inna,F,24,nombres y/o apellidos ilegibles
170049907,2764135845,Cesar agusto,M,49,nombres y/o apellidos ilegibles
231279905,2722236872,Víctor vega,M,50,nombre y/o apellido no concuerda con ANI
310109901,5000476488,Santiago agudelo,M,60,Sufragante no encontrado en ANI
440019968,1391765753,Jesús diaz,M,40,nombres y/o apellidos ilegibles
011420102,1415373726,Marta aristizabal,M,31,nombres y/o apellidos ilegibles
190820000,4104422914,Ben rubiano,F,37,nombre y/o apellido no concuerda con ANI
230889909,4622808736,Lara ovalle,M,45,Sufragante no encontrado en ANI
150640000,1905486595,Lara ovalle,M,58,nombres y/o apellidos ilegibles
030010504,2028399710,Noah rolda,F,55,Sufragante no encontrado en ANI
170329907,2309102271,Lara ovalle,M,59,Sufragante no encontrado en ANI
160011820,2596042347,Víctor vega,F,31,nombre y/o apellido no concuerda con ANI
090010602,7578012059,Radu florinda,M,31,nombres y/o apellidos ilegibles
282209976,6082177051,Santiago agudelo,F,44,nombre y/o apellido no concuerda con ANI
260800103,7434704740,Safia  JOHNSON,F,21,nombre y/o apellido no concuerda con ANI
130409933,8185258703,Radu florinda,F,56,nombres y/o apellidos ilegibles
151669906,6004383759,Marta aristizabal,M,31,Sufragante no encontrado en ANI
150940206,4443919467,Mateo casallas,M,59,nombres y/o apellidos ilegibles
010011103,8385401521,Lara ovalle,F,44,Sufragante no encontrado en ANI
280010601,1464619845,Jesús diaz,F,25,nombre y/o apellido no concuerda con ANI
480169930,2994803398,Eleazar Martínez,F,18,nombre y/o apellido no concuerda con ANI
311249905,7541839145,Lara ovalle,F,50,Sufragante no encontrado en ANI
160011143,7958665410,Paken rojas,M,30,Sufragante no encontrado en ANI
110259938,1081834160,Paken rojas,M,54,Sufragante no encontrado en ANI
210010208,8177519605,Santiago agudelo,M,59,nombre y/o apellido no concuerda con ANI
126009950,5900930002,Juan García ,M,34,Sufragante no encontrado en ANI
110349903,6647412237,Ben rubiano,M,49,Sufragante no encontrado en ANI
881200581,5533425798,Jesús diaz,F,28,nombres y/o apellidos ilegibles
310169905,3944299836,Mateo casallas,M,58,nombre y/o apellido no concuerda con ANI
170089923,6646138864,Mateo casallas,M,55,Sufragante no encontrado en ANI
110299930,2796612076,Víctor vega,M,47,nombres y/o apellidos ilegibles
883603585,3094768835,Marta aristizabal,F,49,nombres y/o apellidos ilegibles
110589937,4949181413,Safia  JOHNSON,F,26,nombres y/o apellidos ilegibles
520449912,6073761873,Noah rolda,M,36,nombre y/o apellido no concuerda con ANI
240250201,7248281959,Jesús diaz,F,54,Sufragante no encontrado en ANI
